,HEADLINE,IMAGE_LINK,LINK,NEWS
0,"Vivo S10, S10 Pro launched with MediaTek Dimensity 1100 SoC: Specifications, more",https://images.indianexpress.com/2021/07/vivo_s10_pro_image_1626415368747.jpg,https://indianexpress.com/article/technology/mobile-tabs/vivo-s10-s10-pro-launched-with-mediatek-dimensity-1100-soc-specifications-more-7407461/,"Vivo has launched its latest set of S-series smartphones: vivo S10 and vivo S10 Pro in China. Both the smartphones are packed with 90Hz Super AMOLED displays and dual selfie cameras. The phones support 44W charging support.The new S-series will go on sale in China starting July 23 in four colour options that include Black, Gradient, Lime, and Velvet White. Here is everything you need to know.The smartphone packs a 6.44-inch FHD+ (1,080×2,400 pixels) Super AMOLED display with a 20:9 aspect ratio and HDR10+ support. It comes with a octa-core MediaTek Dimensity 1100 SoC, along with 8GB LPDDR4X RAM and 256GB storage. The Vivo S10 packs a triple rear camera setup with a 64MP main camera, an 8MP ultra-wide lens, and a 2MP macro shooter.For selfies, the Vivo S10 comes with dual front facing cameras that consists of a 44MP primary sensor with an f/2.0 lens and an 8MP ultra-wide camera. It packs a 4,050mAh battery with 44W fast charging. Connectivity options on the smartphone include 5G, 4G LTE, Wi-Fi, bluetooth, etc. The phone also carries an in-display fingerprint sensor.The Vivo S10 Pro packs similar specifications compared to the regular Vivo S10 albeit a few improvements. The Pro comes with 12GB RAM, 256GB storage, and a 108MP primary camera sensor in place of the 64MP one. Vivo S10 Pro also has NFC which isn’t available on the Vivo S10.Vivo S10 has been priced at CNY 2,799 (roughly Rs 32,300) for the base 8GB RAM + 128GB storage variant. On the other hand, the 8GB RAM + 256GB storage variant is priced at CNY 2,999 (Rs 34,600). The Vivo S10 Pro has a single 12GB RAM + 256GB variant that carries a price tag of CNY 3,399 (Rs 39,200)."
1,Teenager to fly with Bezos in inaugural space tourism flight,https://images.indianexpress.com/2021/07/Blue-origin_Oliver.jpg,https://indianexpress.com/article/technology/science/teenager-bezos-inaugural-space-tourism-flight-7407467/,"An 18-year-old physics student whose father heads an investment management firm is set to take the place of a person who put up $28 million in an auction to take part in the inaugural space tourism flight for billionaire Jeff Bezos’ Blue Origin company. Blue Origin said on Thursday Oliver Daemen will join the four-member all-civilian crew for Tuesday’s scheduled flight after the auction winner, whose name had not been made public, dropped out due to unspecified “scheduling conflicts.” Daemen becomes the company’s first paying customer. His addition means that the flight is set to include the oldest person ever to go to space — 82-year-old trailblazing female aviator Wally Funk — and the youngest, Daemen, according to Blue Origin. Joining them for Blue Origin’s suborbital launch will be Bezos and his brother Mark Bezos. Daemen is working to obtain his pilot’s license and is set to attend the University of Utrecht in the Netherlands to study physics and innovation management in September, Blue Origin said. His father is Somerset Capital Partners CEO and founder Joes Daemen. The elder Daemen “paid for the seat and chose to fly Oliver,” Blue Origin said. The company declined to say how much was paid. #NewShepard is go for launch on July 20 for #NSFirstHumanFlight. This is the 16th flight and first with astronauts on board. Watch live at https://t.co/7Y4TherpLr. Coverage starts at 6:30 am CDT / 11:30 UTC. pic.twitter.com/hYv68UlCqm— Blue Origin (@blueorigin) July 12, 2021“Flying on New Shepard will fulfill a lifelong dream for Oliver, who has been fascinated by space, the Moon, and rockets since he was four,” the company said in a news release.Bezos has been locked in a race with billionaire rivals Richard Branson and Elon Musk as they seek to usher in a new era of commercial space travel in a tourism market that Swiss bank UBS estimates could be worth $3 billion annually in a decade. New Shepard is a 60-foot-tall (18.3-meters-tall) and fully autonomous rocket-and-capsule combo that cannot be piloted from inside the spacecraft. The launch is set for a site in West Texas. Branson, the British billionaire businessman, was aboard his company Virgin Galactic’s rocket plane for its pioneering suborbital flight from New Mexico on Sunday."
2,"In a first, Xiaomi becomes number two smartphone vendor globally: Canalys",https://images.indianexpress.com/2021/07/Xiaomi_NEW_AP.jpeg,https://indianexpress.com/article/technology/tech-news-technology/in-a-first-xiaomi-becomes-number-two-smartphone-vendor-globally-canalys-7407384/,"Xiaomi has become the number two smartphone vendor for first time ever in the second quarter of 2021, beating Apple, according to numbers shared by Singapore-based research firm Canalys. Samsung remained the top vendor in the quarter. According to Canalys, global smartphone shipments increased 12 percent in the quarter as the new normal for economies and citizens started to take shape.Samsung was the market leader with 19 percent and nearly 15 percent annual growth. Xiaomi was number two with 17 percent market share and nearly 83 percent market share. Apple slipped to number three position with 14 percent market share. Vivo and Oppo were number four and five respectively in the list with both seeing double digit growth with 10 percent share each.“Xiaomi is growing its overseas business rapidly. For example, its shipments increased more than 300% in Latin America, 150% Africa and 50% in Western Europe. And as it grows, it evolves. It is now transforming its business model from challenger to incumbent, with initiatives such as channel partner consolidation and more careful management of older stock in the open market,” Canalys Research Manager Ben Stanton said on the company’s growth.In India, Xiaomi remains the number one vendor since 2018. Stanton also notes that while Xiaomi is still largely skewed toward the mass market, and “when compared with Samsung and Apple, its average selling price is around 40% and 75% cheaper respectively.”He added, a “major priority for Xiaomi this year is to grow sales of its high-end devices, such as the Mi 11 Ultra. But it will be a tough battle, with Oppo and Vivo sharing the same objective, and both willing to spend big on above-the-line marketing to build their brands in a way that Xiaomi is not.”"
3,Apple ‘Back to School’ offer: Users get free AirPods on buying MacBook or iPad,https://images.indianexpress.com/2021/07/Apple-offer-1.jpg,https://indianexpress.com/article/technology/techook/apple-launches-back-to-school-offer-in-india-users-get-free-airpods-on-buying-macbook-or-ipad-7407303/,"Apple has launched its “Back to School” discount programme in India. This is an annual education offer, which is already live on Apple Store. The company is offering freebies if you buy eligible Apple products from the Apple Store.Customers can basically buy an eligible Mac or iPad for college or university and get AirPods for free. If you want to upgrade to AirPods wireless charging, then you will have to pay Rs 4,000. Those who are interested in AirPods Pro will be required to spend Rs 10,000.The AirPods, AirPods Wireless Charging, and AirPods Pro are originally selling for Rs 14,900, Rs 18,900, and Rs 24,900, respectively. So, if you have any plans of purchasing an iPad or Mac, now is the good time to buy as you will be getting a pair of Airpods for free.The free AirPods offer is eligible products like MacBook Air, MacBook Pro, iMac, Mac Pro, Mac mini, iPad Pro and iPad Air. Apart from free AirPods, one will also get 20 percent off on AppleCare, and an education discount on Apple Pencil and Keyboard. One can also subscribe to Apple Music at Rs 49 per month along with a free Apple TV+ subscription, and get Apple Arcade free for three months.“These are all evergreen education offers available all year round, that customers can now add to the Higher Education offer,” Apple said. Do note that the new Back to School discount programme is only available for current and newly accepted college/university students, parents buying for them, and teachers and staff at all levels.One will find the offer on the special education section of Apple Store Online. The company’s official website says that an Apple specialist will verify your eligibility using your university ID or acceptance offer. The Back to School offer will be live all year, so you have a lot of time."
4,"Realme Watch 2 Pro, and Buds Wireless 2 Neo to launch in India on July 23",https://images.indianexpress.com/2021/07/Realme-Watch-2-Pro.jpg,https://indianexpress.com/article/technology/gadgets/realme-watch-2-pro-and-buds-wireless-2-neo-to-launch-in-india-on-july-23-details-7407140/,"Realme Watch 2 Pro and Realme Buds Wireless 2 Neo are all set to launch in India on July 23. While the company is yet to confirm the launch of these products, Amazon has published dedicated teaser pages for them. This also confirms that the new devices will be up for sale via Amazon.The listing also confirms the design and features of the Realme Watch 2 Pro and Realme Buds Wireless 2 Neo. Both products are also already available outside India. The Realme Watch 2 Pro was launched in Malaysia in May and the wireless earphones were unveiled in Sri Lanka a few months back. So, the specifications could be similar.As mentioned above, Amazon has revealed most of the key features of the Realme Watch 2 Pro. The fitness wearable has a 1.75-inch rectangular touch colour display. It can monitor your resting heart rate, exercise heart rate, measure blood oxygen (or SpO2) and sleeping patterns. The watch is IP68 rated, meaning it is dust and water-resistant.The device will offer up to 14 days on a single charge, as per the Amazon listing. The watch also has a three-axis accelerometer as well as 90 sports modes. The latter includes outdoor running, strength training, football, basketball, yoga, cricket, and more. This is a smartwatch, so it will be able to show your smartphone notifications and alarms. You will also be able to set reminders, and do other things. It will be available in Black and Grey strap options.The Realme Buds Wireless 2 Neo, on the other hand, comes with 11.2mm Bass Boost drivers and is said to deliver up to 17 hours of battery life. The listing has revealed that 10 minutes of charge will offer 120 minutes of playback. The case will feature a USB Type-C charging port. The neckband-style earphones offers support for environment noise cancellation (ENC). They are also IPX4 certified, which means the earphones are sweatproof. It even supports 88ms super-low latency. The earbuds will come in Kandi Blue and Kandi Yellow colour options.The price and availability details of the new Realme Realme products will be revealed on July 23. The launch event will kick off at 12.30PM IST. In Malaysia, the Realme Watch 2 Pro is selling for MYR 299 (around Rs 5,300) and the Realme Buds Wireless 2 Neo is being sold for LKR 8,279 (approximately Rs 3,000) in Sri Lanka. The India price of the Watch 2 Pro could be higher."
5,Facebook says Iranian hackers used site in spying on US military personnel,https://images.indianexpress.com/2021/07/Facebook_Reuters1.jpg,https://indianexpress.com/article/technology/tech-news-technology/facebook-says-iranian-hackers-used-site-in-spying-on-us-military-personnel-7407181/,"Facebook said on Thursday it had taken down about 200 accounts run by a group of hackers in Iran as part of a cyber spying operation that targeted mostly US military personnel and people working at defense and aerospace companies.The social media giant said the group, dubbed ‘Tortoiseshell’ by security experts, used fake online personas to connect with targets, build trust sometimes over the course of several months and drive them onto other sites where they were tricked into clicking malicious links that would infect their devices with spying malware.“This activity had the hallmarks of a well-resourced and persistent operation, while relying on relatively strong
operational security measures to hide who’s behind it,” Facebook’s investigations team said in a blog post.The group, Facebook said, made fictitious profiles across multiple social media platforms to appear more credible, often posing as recruiters or employees of aerospace and defense companies. Microsoft-owned LinkedIn said it had removed a number of accounts and Twitter said it was “actively investigating” the information in Facebook’s report.Facebook said the group used email, messaging and collaboration services to distribute the malware, including through malicious Microsoft Excel spreadsheets.A Microsoft spokesperson said in a statement it was aware of and tracking this actor and that it takes action when it detects malicious activity.Alphabet Inc’s Google said it had detected and blocked phishing on Gmail and issued warnings to its users. Workplace messaging app Slack Technologies Inc said it had acted to take down the hackers who used the site for social engineering and shut down all Workspaces that violated its rules.The hackers also used tailored domains to attract its targets, Facebook said, including fake recruiting websites for defense companies, and it set up online infrastructure that spoofed a legitimate job search website for the US Department of Labor.Facebook said the hackers mostly targeted people in the United States, as well as some in the United Kingdom and Europe, in a campaign running since mid-2020. It declined to name the companies whose employees were targeted but its head of cyber espionage Mike Dvilyanski said it was notifying the “fewer than 200 individuals” who were targeted.The campaign appeared to show an expansion of the group’s activity, which had previously been reported to concentrate mostly on the IT and other industries in the Middle East, Facebook said. The investigation found that a portion of the malware used by the group was developed by Mahak Rayan Afraz (MRA), an IT company based in Tehran with ties to the Islamic Revolutionary Guard Corps. Reuters could not immediately locate contact information for Mahak Rayan Afraz and former employees of the firm did not immediately return messages sent via LinkedIn.Iran’s mission to the United Nations in New York did not immediately respond to a request for comment. MRA’s alleged connection to Iranian state cyber espionage is not new. Last year cybersecurity company Recorded Future said MRA was one of several contractors suspected of serving the IRGC’s elite Quds Force.Iranian government spies – like other espionage services – have long been suspected of farming out their mission to a host of domestic contractors. Facebook said it had blocked the malicious domains from being shared and Google said it had added the domains to its “blocklist.”"
6,Nintendo Switch gets new rival with Valve’s portable Steam console,https://images.indianexpress.com/2021/05/Nintendo-Switch-1-1.jpg,https://indianexpress.com/article/technology/gaming/nintendo-switch-gets-new-rival-with-valves-portable-steam-console-7407168/,"Nintendo Co.’s Switch has some new competition. Closely held video game publisher Valve Corp. introduced a portable gaming device Thursday that resembles the Switch but will have technical capabilities comparable to a gaming PC or console, according to the company.The Steam Deck, which will be available in December starting at $400, will allow users to play sophisticated computer games on the go. The device has buttons, joysticks, and small mouse pads. The form is almost identical to the Switch, which has sold more than 84 million units since its release in 2017.While the Switch, which is also a portable device, is low-powered compared with competing gaming consoles, the Steam Deck promises to run the highest-end games. Footage of the device showed titles such as Star Wars Jedi Fallen Order running on the Steam Deck, which wouldn’t be possible on the Switch. Valve said it has partnered with Advanced Micro Devices Inc. on a custom chip capable of running “the latest AAA games in a very efficient power envelope.”Valve’s online game store, Steam, is the most popular way to play games on PCs. Valve says the new device will allow users to play all of their current Steam games as if they are using their account on a different computer.“We think Steam Deck gives people another way to play the games they love on a high-performance device at a great price,” Valve chief executive officer Gabe Newell said in a statement. “As a gamer, this is a product I’ve always wanted. And as a game developer, it’s the mobile device I’ve always wanted for our partners.”"
7,Microsoft says Israeli group sold tools to hack Windows,https://images.indianexpress.com/2021/07/Microsoft_Reuters_NEW_1.jpeg,https://indianexpress.com/article/technology/tech-news-technology/microsoft-says-israeli-group-sold-tools-to-hack-windows-7407170/,"An Israeli group sold a tool to hack into Microsoft Windows, Microsoft and technology human rights group Citizen Lab said on Thursday, shedding light on the growing business of finding and selling tools to hack widely used software.The hacking tool vendor, named Candiru, created and sold a software exploit that can penetrate Windows, one of many intelligence products sold by a secretive industry that finds flaws in common software platforms for their clients, said a report by Citizen Lab.Technical analysis by security researchers details how Candiru’s hacking tool spread around the globe to numerous unnamed customers, where it was then used to target various civil society organisations, including a Saudi dissident group and a left-leaning Indonesian news outlet, the reports by Citizen Lab and Microsoft show.Attempts to reach Candiru for comment were unsuccesful. Evidence of the exploit recovered by Microsoft Corp suggested it was deployed against users in several countries, including Iran, Lebanon, Spain and the United Kingdom, according to the Citizen Lab report.“Candiru’s growing presence, and the use of its surveillance technology against global civil society, is a potent reminder that the mercenary spyware industry contains many players and is prone to widespread abuse,” Citizen Lab said in its report.Microsoft fixed the discovered flaws on Tuesday through a software update. Microsoft did not directly attribute the exploits to Candiru, instead referring to it as an “Israel-based private sector offensive actor” under the codename Sourgum.“Sourgum generally sells cyberweapons that enable its customers, often government agencies around the world, to hack into their targets’ computers, phones, network infrastructure, and internet-connected devices,” Microsoft wrote in a blog post.“These agencies then choose who to target and run the actual operations themselves.”Candiru’s tools also exploited weaknesses in other common software products, like Google’s Chrome browser. On Wednesday, Google released a blog post where it disclosed two Chrome software flaws that Citizen Lab found connected to Candiru. Google also did not refer to Candiru by name, but described it as a “commercial surveillance company.”Google patched the two vulnerabilities earlier this year.Cyber arms dealers like Candiru often chain multiple software vulnerabilities together to create effective exploits that can reliably break into computers remotely without a target’s knowledge, computer security experts say.Those types of covert systems cost millions of dollars and are often sold on a subscription basis, making it necessary for customers to repeatedly pay a provider for continued access, people familiar with the cyber arms industry told Reuters.“No longer do groups need to have the technical expertise, now they just need resources,” Google wrote in its blog post."
8,Samsung Big TV Days: Here’s how you can get a free soundbar,https://images.indianexpress.com/2021/07/Samsung-Big-TV-Days-offers.jpg,https://indianexpress.com/article/technology/gadgets/samsung-big-tv-days-heres-how-you-can-get-a-free-soundbar-7406534/,"Samsung is hosting its Big TV Days offers from July 15 to August 20 this year. These offers will be available at all leading consumer electronics retailers across the country and will get users deals and offers on the purchase of select 55-inch and above Neo QLED and QLED TVs, and 75-inch and above Crystal 4K UHD TVs.The brand will be offering Samsung Q-series and A-series soundbars worth up to Rs 1,04,990 as assured gifts, a cashback of up to 20%, easy finance offers and EMIs starting at Rs 1,990. Additional benefits include 2-year warranty and 10-year no screen burn-in warranty for OLED TVs.Consumers purchasing 55-inch and above Neo QLED, QLED TV and 75-inch UHD TV will get an A series Soundbar HW-A450 worth Rs 17,900 or HW-A550 worth Rs 23,900, depending on the TV model. On purchase of 75-inch and above Neo QLED and QLED TV, consumers will get the Q series Soundbar HW-Q800A worth Rs 51,900 or Q series Soundbar HW-Q900A worth Rs 1,04,900, depending on the TV model.Samsung launched its new 2021 Neo QLED 8K and 4K TV models in India back in April. The latest Neo QLED TVs come with three major technologies, including Samsung’s new Neo Quantum processor, Quantum Mini LEDs, and Quantum Matrix tech. The Neo Quantum processor can leverage up to 16 different neural network models to enhance picture quality to 4K and 8K regardless of the input quality. The TVs support 120Hz refresh rate.The presence of the new display technologies on the 2021 Neo QLED TVs not only helps offer better picture quality, but also offers bezel-less design to users. The TVs also feature Object Tracking Sound Pro, which Samsung says can help produce dynamic sound corresponding to the movement of objects on the screen. Read more about the new TVs here."
9,Microsoft CEO says company on ‘right side’ of antitrust battle,https://images.indianexpress.com/2021/07/nadella-1200.jpeg,https://indianexpress.com/article/technology/tech-news-technology/microsoft-ceo-says-company-on-right-side-of-antitrust-battle-7406442/,"Microsoft Corp Chief Executive Officer Satya Nadella said the company “is on the right side of history” in the antitrust debates about whether big technology companies abuse user privacy and squash competition.While Congress and US regulators have clashed with Facebook Inc, Alphabet Inc, Amazon.com Inc and Apple Inc over the companies’ business practices, Microsoft hasn’t received the same kind of scrutiny more than 20 years after it was sued by the US Justice Department on antitrust issues.The software company “makes sure” user privacy and internet safety are among its highest priorities for products “and then when it comes to competition, I mean you should go talk to the people who are investing a lot of capital and a lot of M& A competing with Microsoft and we welcome that,” Nadella said Wednesday in an interview with Bloomberg Television.Nadella said he is concerned about the wave of hacks in the past few months, which have included ransomware attacks that stopped business at a major pipeline company and food producer in the US“We have another real pandemic, which is a cyber” pandemic, he said. “The level of attacks for sure have increased, but the need for our response to be top notch has also increased. We just have to get better as an industry.”Nadella also discussed tensions with Google, following the end of a five-year cease-fire between the two companies, which mutually agreed not to fuel legal lobbying efforts against one another. He said he “has a lot of respect” for Google and its leadership.“We’re fighting the good fight to sort of compete against colossal lead in that space,” he said of digital advertising sales, which is led by Google and Facebook.Nadella weighed in on Microsoft’s work-from-home policy, emphasizing the importance of flexibility and accommodating “changed expectations” in the wake of the coronavirus pandemic. He spoke with Bloomberg Television after appearing at Microsoft’s Inspire conference for partners, where the company among its announcements unveiled a cloud-based version of Windows aimed at remote workers.“We’ll really think about long-term policies based on, quite frankly, having all of that data behind us because otherwise I think we’re trying to come up and being too overly dogmatic,” he said."
