,HEADLINE,IMAGE_LINK,LINK,NEWS
0,"Prima facie case against Teltumbde, cannot be granted bail as per provisions of UAPA, says special court
July 16, 2021 1:25:44 pmIn the 40-page detailed order made available on Friday, the court said, ""Upon perusal of the documents, this court does not find that the accusations are inherently improbable or wholly unbelievable.""",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/mumbai/elgar-parishad-anand-teltumbde-special-court-bail-order-7407451/,"In its detailed order rejecting bail to former IIT professor and academic Anand Teltumbde, arrested in the Elgar Parishad case, a special court has said he cannot be released when there is a “prima facie” case against him under the Unlawful Activities Prevention Act (UAPA).Special Judge Dinesh E Kothalikar had on Monday rejected the bail application of 70-year-old Teltumbde who has been behind bars since April 14, 2020.In the 40-page detailed order made available on Friday, the court said, “Upon perusal of the documents, including the exchange of emails and the statements of the witnesses relied upon by the prosecution, and after cross-checking the truthfulness of the allegations made against the applicant, this court does not find that the accusations are inherently improbable or wholly unbelievable.”It said it had to consider the rider under section 43D(5) of UAPA which states that if there are reasonable grounds for believing the accusation is prima facie true, the accused cannot be granted bail.Two days before his death, on July 5, Father Stan Swamy, Teltumbde’s co-accused in the case, had moved the Bombay High Court challenging the constitutionality of this provision, stating that the presumption of innocence was inverted due to it and it violated fundamental rights.Special Public Prosecutor Prakash Shetty, representing the National Investigation Agency (NIA), had opposed Teltumbde’s bail plea, alleging that he was an active member of the banned organisation CPI (Maoist) and was furthering its agenda. He also claimed that a witness statement showed that Teltumbde was in touch with his brother, Milind, named in the chargesheet as an absconding accused, and alleged top operative of the organisation. The NIA claimed the witness further said Milind had told him that he was inspired by Teltumbde to join the organisation.Teltumbde’s lawyer Sudeep Pasbola opposed the ground, stating that it was hearsay evidence.The court, however, agreed with the prosecution’s submission. “… the wanted accused (Milind) is the best person to state as to by whose conduct or activities he was being impressed and therefore, in my view, the statement made by the wanted accused that he was impressed by the applicant for furthering the activities of banned terrorist organisation can be said to be relevant,” the court said.The court considered 11 documents, including emails and letters, submitted by the prosecution, along with witness statements.The NIA also referred to an email by Teltumbde about a signature campaign to various authorities, including the President, Prime Minister and Chief Minister of Maharashtra in 2019, to garner support from various cross sections of society as he faced arrest in this case. The SPP called this an attempt by Teltumbde to build pressure.While Pasbola submitted that the documents referred to by the NIA are not admissible as evidence, the court said it was not expected to conduct a ‘roving inquiry’ at the stage of deciding a bail plea, and that it would amount to a “mini-trial”.The court also took into account earlier orders against Teltumbde, including the Pune court denying him anticipatory bail and the Bombay High Court’s court order rejecting his plea to quash the FIR.While Pasbola submitted that the previous orders cannot have a bearing on his current bail plea, the court said that “it is not possible to record a contrary finding” (with the earlier orders).The NIA in its chargesheet had alleged that Teltumbde used to attend international conferences and bring “foreign Maoist literature” to use for training purposes of CPI (Maoist) members. Teltumbde had said his attendance in these conferences was public information, with expenses borne by universities which had invited him due to his academic background. Teltumbde had also said he belonged to a Dalit family and had, despite hailing from a poor family, through hard work, reached the academic position in life.The court however said his educational qualification and social background cannot be considered while deciding his bail plea."
1,"Pune may face another week without significant rainfall
July 16, 2021 1:25:36 pmThe India Meteorological Department (IMD) has, in its latest forecast, said that the monsoon trough will be briefly shifting northwards, which means that the rainfall activity over Maharashtra will once again lose steam.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/pune/pune-may-face-another-week-without-significant-rainfall-7407541/,"One-and-a-half months into the season, the monsoon rains appear to be largely eluding Pune as the city still waits for a good spell this season.In the first fortnight of July, the city (Shivajinagar) has recorded as low as 21mm. The city’s June rainfall was 152mm, which was just about normal for the onset period.The city’s seasonal rainfall, which began with a 5 per cent deficit in July, has now climbed to over 23 per cent. With no signs of continuous and good spells, this deficit would only grow during the days ahead. At present, Pune district’s rainfall is just 5 per cent above normal.The rainfall signs for Maharashtra, too, are not very good one atleast for another one week.The India Meteorological Department (IMD) has, in its latest forecast, said that the monsoon trough will be briefly shifting northwards, which means that the rainfall activity over Maharashtra will once again lose steam.As per the numerical models, the monsoon trough will shift northwards from July 17 and stay there till July 20.” During this period, the rainfall will remain largely concentrated over Punjab, Haryana, north Madhya Pradesh, Uttar Pradesh and Jammu and Kashmir. The rainfall will be realised over Konkan and Goa while the rest of Maharashtra will not experience any significant activity,” the IMD officials said.All hopes for some enhanced rainfall now lie on the low pressure system likely to form over west-central Bay of Bengal, off Odisha-coast, around July 21.” After July 21, the monsoon trough will once again move southwards and the formation of a fresh low pressure system, the rainfall will improve over central India and parts of Maharashtra,” another official said.Except Madhya Maharashtra, all remaining meteorological subdivisions of Maharashtra have benefited from rainfall in some or the other form.Even in mid-July, thunderstorms are regular over Marathwada and Vidarbha, where only Gondia district is presently short of normal rainfall. Due to medium-strong westerly winds, Konkan and Goa, too, has been receiving good rainfall, especially since July 10.During June 1 – July 15, Maharashtra has recorded 416mm or 15 per cent surplus rain.– Stay updated with the latest Pune news. Follow Express Pune on Twitter here and on Facebook here. You can also join our Express Pune Telegram channel here."
2,"After intel inputs ahead of I-Day, Delhi top cop asks night gazetted officers to visit Red Fort at least once during patrolling
July 16, 2021 1:23:48 pmSources said intelligence agencies have alerted Delhi Police to make appropriate security arrangements at Red Fort after receiving inputs of ‘some planning’ before August 15.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/delhi/intel-inputs-i-day-delhi-night-gazetted-officers-red-fort-once-patrolling-7407545/,"Ahead of Independence Day, Delhi Police Commissioner Balaji Srivastava directed Delhi night gazetted officers (GOs) and district GOs to visit Red Fort at least once during their night duty.Sources said the intelligence agencies have alerted Delhi Police to make appropriate security arrangements at Red Fort after receiving inputs of “some planning” before August 15.“Srivastava asked all DCPs that keeping in view the recent drone attack at the IAF campus, the tempo of high alertness should be ensured at all important places. He also asked night GOs of Delhi and north district GOs to visit Red Fort at least once during their night checking. He also asked Special CPs (central zone) and security to ensure appropriate security arrangements at Red Fort,” an officer said.In the Republic Day chaos at Red Fort, close to 1,200 people on 30-40 tractors and around 150 motorcycles and cars allegedly stormed inside Red Fort, chased down and assaulted policemen, looted their anti-riot gear, held some of them hostage inside a public toilet and vandalised the ticket counter.In the chargesheet filed in connection with the Republic Day violence by a section of farm protesters, Delhi Police said the agitators wanted “to conquer/get hold of (Red Fort)” and then “make it a new protest site for farmers”.“On the night of January 26, Balaji Srivastava was asked to look after only Red Fort and he also visited Red Fort when he went out for a night patrolling two days after taking charge,” a senior police officer said.Srivastava on Thursday issued an order prohibiting flying of “sub-conventional aerial platforms” like paragliders, paramotors, UAVs, hot-air balloons and para-jumping from aircraft in Delhi until Independence Day. The order came into force from Friday and will be followed till August 16. The order says offenders will be booked under IPC Section 188 (disobedience to order duly promulgated by public servant)."
3,"FIR against T-Series managing director Bhushan Kumar for ‘raping’ woman
July 16, 2021 1:13:22 pmAccording to police, the FIR was lodged on Thursday by a 30-year-old woman who alleged that she was sexually assaulted from September 2017 until last year. The woman also alleged that Kumar threatened to harm her if she opens her mouth",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/mumbai/fir-against-t-series-managing-director-bhushan-kumar-for-raping-woman-7407473/,"An FIR was registered against managing director of T-Series Bhushan Kumar at D N Nagar police station in Andheri (West) for allegedly raping a woman on the false promise of providing her with a job at his company.According to police, the FIR was lodged on Thursday by a 30-year-old woman who alleged that she was sexually assaulted from September 2017 until last year. The woman also alleged that Kumar threatened to harm her if she opens her mouth.A senior Mumbai Police official confirmed the development and said, “The FIR has been registered under Sections 376 (rape), 420 (cheating) and 506 (criminal intimidation) of the IPC at D N Nagar police station against Kumar.”Back in 2018 when the #MeToo movement against sexual assaults at the workplace had begun in India, similar allegations were made against Kumar. However, it is not clear if the same woman has registered the FIR."
4,"Application filed at Bombay HC against ‘arbitrary’ rejection of claims of Covid-19 patients by insurance companies
July 16, 2021 1:11:29 pmAdvocate Rajesh Inamdar filed an interim application based on his personal experience to highlight the problems faced by patients having an insurance policy in settling hospital bills at private hospitals and rejection of claims by insurance companies.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/mumbai/application-bombay-hc-arbitrary-rejection-claims-covid-19-patients-insurance-7407532/,"Citing harassment and agony of Covid-19 patients by private hospitals and insurance companies over the settling of hospital bills, advocate Rajesh Inamdar filed an interim application at Bombay High Court seeking investigation into alleged rejection of policyholders’ claims by insurance companies in an arbitrary manner and a direction the latter to process cashless facilities for Covid patients.In an ongoing Covid-19 related case filed by Nilesh Navlakha, Inamdar filed an interim application based on his personal experience to highlight the problems faced by patients having an insurance policy in settling hospital bills at private hospitals and rejection of claims by the insurance companies.He prayed to the court to direct the Insurance Regulatory and Development Authority of India (IRDA) to conduct an investigation under the Insurance Act and direct the insurance companies to immediately reimburse all claims of the patients which were “arbitrarily and mischievously rejected”.“The court should ask IRDA to investigate and file a report as to how many claims were rejected by insurance companies in an arbitrary, frivolous, mechanical and mischievous manner and denied benefits of insurance policy to the policyholders and have taken undue advantage of the pandemic to unjustly enrich themselves,” Inamdar said in his application.The applicant also requested the court to direct the Pune Municipal Corporation (PMC) to conduct an audit into affairs of all the hospitals and investigate if there is a systematic fraud played by hospitals in connivance with insurance companies to exploit and unjustly enrich themselves by denying the benefits of insurance claims to the policy holders.Incidentally, the audit of hospital bills of Covid-19 patients in private hospitals in its jurisdiction has been done by PMC and it has reduced a total of Rs 5.03 crore bill of 1,536 patients. In the first week of July, a bill amount of Rs 17.21 lakh was reduced for 188 patients who got treated at private hospitals in the city.“The insurance companies have been rejecting claims of Covid patients all over the state, citing unnecessary hospital stay on completely arbitrary and frivolous grounds. The companies have been adopting a completely mischievous, unethical and inhumane approach while considering the request for cashless facility of Covid patients over hospital stay by furnishing super-medical advice, over and above the advice rendered by the medical experts, on the necessity of hospitalisation of patients,” he said.The discretion of placing a patient in-home quarantine or hospitalisation lies solely with the doctors and medical experts examining or screening the patients and not with the insurance companies, the applicant said, adding, patients have been advised hospitalisation based on the previous medical history and co-morbidities after they consulted hospitals or doctors on receipt of Covid-19 positive reports. “However, the claims are unilaterally and mischievously rejected by the insurance companies stating that the patient did not need to go to the hospital, in a brazen display of high-handedness and apathy,” the application read.The degree of lung infection, comorbidities and age of the patient “are considered for admitting a patient to the hospital and the patient is not in a position to either accept or deny such advice of the doctors to get admitted. The pandemic has shown that private healthcare is unaffordable, public healthcare is weak and insurance is not helping people access healthcare either,” Inamdar added.Despite instructions from IRDA, the applicant said the Insurance companies have been denying cashless facilities to patients. The process of reimbursement has also become a terrible and tiresome affair, wherein medical refund is available after unfair and unreasonable deductions, which went up to 40% to 50% of the actual bill amount.“Any medical opinion by the insurance companies to deny the claims contrary to the opinion of the doctors or the hospitals suggesting hospitalisation is entirely untenable, illegal and in denial of the claim of the policyholders clearly amounts to profiteering, extortion and unjust enrichment,” he said.He added, “In case there is even an inkling of the hospitals’ complicity with the insurance companies to squeeze or extort money by abusing the trust, misery and misfortune of Covid-19 patients, in a racket of sorts to unlawfully extort more and more money, it is imperative that a committee be constituted to inquire into the matter and unearth the truth.”The court has fixed the hearing on the matter after three weeks."
5,"Why there’s a perpetual traffic jam opposite Dilli Haat
July 16, 2021 1:07:21 pmThe project began on October 27 last year and was scheduled for completion by August 26 this year. However, the project had been stalled because of the lockdown and the labour shortage that ensued.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/delhi/why-theres-a-perpetual-traffic-jam-opposite-dilli-haat-7407522/,"Traffic jams spanning over half an hour or longer have become common around Dilli Haat INA ever since construction work on an underpass resumed after the lockdown. Delhi Traffic police said the project is nearing completion and traffic will reduce gradually.The bottleneck is due to the construction of a pedestrian subway across Aurobindo Marg, between Dilli Haat and entry number 4 of East Kidwai Nagar. Workers at the site said that the construction has been going on for months and is now nearing completion. A major part of the main road has been barricaded, leaving little space for vehicles to pass.The project began on October 27 last year and was scheduled for completion by August 26 this year. However, the project had been stalled because of the lockdown and the labour shortage that ensued.A traffic police officer said, “Traffic from other areas has been diverted to this area because of construction work on Barapullah phase 3. Hence, there are more vehicles passing INA at the moment. The subway is nearing completion, only a little work is left.”He added that once work on 3-4 projects, including DND-Ashram extension, is complete, the situation will be much better. “Traffic in South Delhi will reduce significantly over the course of the next few months,” he said."
6,"Data from ICMR study on breakthrough infections show Delta variant predominant; 3 died post vaccination
July 16, 2021 12:56:31 pmThe first official study on breakthrough infections in India shows that a vast majority of such cases, 89 per cent, involved infection by the Delta variant.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/pune/india-covid-vaccination-breakthrough-infections-delta-variant-7407456/,"The first official study on breakthrough infections in India shows that a vast majority of such cases, 89 per cent, involved infection by the Delta variant.The study was conducted by Pune-based National Institute of Virology. Genome analysis of the SARS-CoV2 virus from 677 people who got infected even after taking the vaccine.Here are some of the findings from the study:* 482 of the 677 cases (71 per cent) were symptomatic* 71 people (9.8 per cent) required hospitalisation* Three of the 677 people died* Fever was the most consistent symptom in the infected people, experienced by 69 per cent of the respondents. Body ache, headache and nausea was reported by 56 per cent of infected people, cough by 45 per cent, sore throat by 37 per cent, loss of smell and taste by 22 per cent, diarrhoea by 6 per cent, breathlessness by 6 per cent and ocular irritation and redness by one per cent.* 604 of the 677 (89 per cent) infected had received the Covishield vaccine, 71 (10.5 per cent) had taken Covaxin. Two people had taken Sinopharm.* People from southern, western, eastern and north-western regions of the country predominantly reported breakthrough infections from Delta and Kappa variants* People in northern and central regions reported such infections due to Alpha, Delta and Kappa variants.– Stay updated with the latest Pune news. Follow Express Pune on Twitter here and on Facebook here. You can also join our Express Pune Telegram channel here."
7,"Maharashtra SSC results out, 99.95% students pass examination
July 16, 2021 12:14:42 pmThis is the highest pass percentage of the Secondary School Certificate board so far. Compared to the previous year, board results have improved by 4.65%.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/pune/maharashtra-ssc-results-out-99-95-students-pass-7407437/,"The Maharashtra State Board of Secondary and Higher Secondary Education on Friday announced the Class X results and said 99.95% students have passed in the examination.Of the 15,75,806 students who had registered for the examination, schools sent assessment reports for 15,75,752 of which 15,74,994 students have passed.This is the highest pass percentage of the Secondary School Certificate board so far. Compared to the previous year, board results have improved by 4.65%.Among the nine divisions, Konkan has 100% pass percentage while the was clocked at Nagpur at 99.94%. At least 27 subjects have 100% pass percentage.In all, 83,262 students received more than 90% marks and 957 students got 100% marks. Nine schools in the state received zero percent results.Dinkar Patil, chairman, Maharashtra state education board, declared the results while assuring that all students will get seats in Class XI, FYJC. The CET for admissions to first year junior college is expected before August 21, said Patil.As board exams were cancelled this year owing to the pandemic, internal assessments were used to calculate the marks.Of the students who failed, 368 qualified for ATKT while 916 are eligible for a re-examination."
8,"YouTuber Karl Rock’s wife files plea against his blacklisting by Indian govt, HC issues notice to Centre
 July 16, 2021  12:17:47 pmJustice Rekha Palli told the Centre there has to be justifiable reasons for the blacklisting, and the reasons have to be communicated to either YouTuber Karl Rock or his wife.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/delhi/delhi-high-court-youtube-karl-rock-case-notice-to-centre-7407426/,"The Delhi High Court on Friday issued notice to the Centre and Foreigner Regional Registration Office, Delhi in the petition filed by YouTuber Karl Edward Rice’s wife Manisha Malik against blacklisting and cancellation of his visa. Malik has been with Karl since 2014 and married him in 2019.Malik, in the petition filed through advocate Fuzail Ahmad Ayyubi, submitted that she and her husband are YouTube vloggers who have visited most parts of the country to capture its beauty, and thereby, contribute to promotion of tourism in India. “The petitioner, by virtue of denial of a visa to her husband who has been arbitrarily blacklisted by the Respondents, is deprived from living with her husband thereby violating her fundamental right to life and dignity as guaranteed under Article 21,” she argued in the plea.Karl has dual nationality of New Zealand and Netherlands. He has been visiting India since 2013, and, subsequent to his marriage with Malik, was granted a visa meant for the spouse of an Indian citizen. One of the visa conditions required him to exit the country every 180 days or intimate the Foreigner Regional Registration Office for extension.“Complying with the aforesaid condition of exiting the nation, while the petitioner’s husband left India on 10.10.2020, he has not been able to return because any application for issuance of an Indian visa is being rejected by the Respondents. While the petitioner has been running from pillar to post and no reasons are communicated to either Mr Karl Edward Rice or to the petitioner herself as to on what basis her husband’s request for issuance of visa have been rejected, the petitioner’s husband was only verbally informed that he has been blacklisted and therefore he is not permitted to enter into India,” Malik said in the petition.Justice Rekha Palli on Friday told the Centre there has to be justifiable reasons for the blacklisting, and the reasons have to be communicated to either Karl or his wife. The court granted three weeks time to the respondents to file a counter-affidavit, and listed the case for hearing on September 23.Advocate Anurag Ahluwalia, representing the authorities, submitted to the court that Karl has been blacklisted for visa violations as, despite being on a spouse visa, was conducting business in India. Ahluwalia sought time to file a reply to the plea.When Ayyubi, representing Malik, sought a short date for next hearing in the case, the court said, “It is all right. You have been out in October. In Covid, people are not seeing their family for more than one year… so it is all right.”“Have a little patience. If you are in the right, you will succeed,” added the court.Karl was praised by Delhi Chief Minister Arvind Kejriwal in 2020 for donating plasma at a government plasma bank."
9,"Plans to make Hauz Khas, ITO, Lajpat Nagar and DU campuses more walkable approved
July 16, 2021 11:58:40 amThe walkability plan says that there should be a provision for pelican crossings near schools and other intersections that cater to children and the elderly. The policy also stresses on providing street furniture, signage giving information on directions and locations of public utilities.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/cities/delhi/plans-hauz-khas-ito-lajpat-nagar-du-campuses-walkable-approved-7407382/,"Walkability plans, which are aimed at improving infrastructure that will make it easier for pedestrians to go around the city’s prominent business and educational hubs on foot, have been approved.The Unified Traffic and Transportation Infrastructure (Planning and Engineering) Centre approved plans for INA Market and metro station, ITO Junction, Hauz Khas, IIT Delhi, Delhi University (North and South Campus), Kamla Nagar and Lajpat Nagar.The meeting was chaired by Delhi LG Anil Baijal, and the vice chairperson of DDA and other senior officials of stakeholder departments were also present.These areas would be taken up in the first phase, said a senior DDA official.“500 metres area of the busy stretch will be developed, the design will be completed in the next six months and then the concerned agencies can start implementation,” she said.The walkability plan says that there should be a provision for pelican crossings near schools and other intersections that cater to children and the elderly. The policy also stresses on providing street furniture, signage giving information on directions and locations of public utilities.A senior DDA official said that these plans aim at improving walking infrastructure customized to specific needs of the respective areas.
The plan also talks of making Delhi accessible for pedestrians by removal of encroachments, installation of street furniture, vending zones, tree plantations and signage.A detailed drawing will be prepared and executed by the concerned road owning agencies like PWD, local governing bodies in coordination with DMRC, he said.The need was felt to develop a walkability plan, as pedestrian safety in the city has become a serious problem and people could be seen jaywalking at several busy stretches of Delhi. In 2019, nearly 46% of the total 1,463 road accident deaths in Delhi were that of pedestrians, according to Delhi traffic police data."
