,HEADLINE,IMAGE_LINK,LINK,NEWS
0,"Balika Vadhu’s Anandi and Jagya, Avika Gor and Avinash Mukherjee, remember Surekha Sikri: ‘Love you Dadisa’July 16, 2021 1:13:40 pmSurekha Sikri's Balika Vadhu family Avinash Mukherjee, Annup Soni, Shashank Vyas and Avika Gor remember the time spent with her. The actor died on Friday after suffering a cardiac arrest.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/television/balika-vadhu-anandi-jagya-avika-gor-avinash-mukerjee-on-surekha-sikri-love-you-dadisa-7407453/,"Veteran actor Surekha Sikri passed away on Friday, following a cardiac arrest. With a career spanning more than four decades, she had built a niche for herself. A member of NSD Repertory, she went on to create magic in front of the camera. Be it in films like Tamas, Zubeidaa and more recently Badhaai Ho, to television shows like Banegi Apni Baat, Saat Phere and Just Mohabbat, Surekha Sikri’s characters stood out. One role on the small screen that made her a household name continues to be from Balika Vadhu, where she played the stern matriarch Kalyani Devi.As the industry and her fans bid her a last farewell, her Balika Vadhu co-star remembered their Maa sa and Dadisa, and said that it was nothing short of an honour to have shared the screen with her.Avinash Mukherjee, who played the young Jagya, in the daily show shared that while he hadn’t been in touch with her lately, she continues to be an inspiration for him. In an exclusive chat with indianexpress.com, the 23-year-old said, “She is one of the greatest actors we have in the world. She was always very disciplined and dedicated towards her work. I sometimes still go back to watching old clips from Balika Vadhu just to get an understanding of the quality of acting she managed to do on camera.”  A post shared by Indian Express Entertainment (@ieentertainment) The Sasural Simar Ka 2 actor played her grandson on the show, and they shared the same bond off-screen. “I was her laadesar in real life,” he said, remembering her time with the veteran actor. Avinash went on to share, how he as a nine-year-old had once tried to quiz Surekha Sikri. “I was so innocent. One day on the set, out of the blue I questioned her – ‘how do you act so well?’ She gracefully replied and said ‘experience’. It’s just so sad that God is taking away our biggest heroes. After Dilip saab, now Surekha ji.”Avinash Mukherjee went on to share an anecdote about the time Surekha Sikri lost her husband. Her dedication towards work set an example for him. “In 2009, her husband passed away. She got the news at lunch break and left the set. The next morning, at 7 am, she was ready with her dialogues all dressed up. Everyone was shocked at seeing her at work, and she went on to perform with a line of hesitation. I think that requires a different level of dedication and passion for one’s work. I learnt that as actors, one has to keep their personal emotions aside when they come on set. That work ethic stayed with me and I keep telling the same to my co-stars too.”Avika Gor, who played young Anandi on Balika Vadhu, wrote on Instagram, “I have some amazing memories with Surekha ji. Apart from being an incredible actress she was a beautiful human. It was always difficult to match her energy levels during the scenes but she made sure I was comfortable every time I was around her & that taught me to be grounded. I have always wanted to be like her.. hardworking.. grounded.. kind❤️. She has truly left us a legacy to follow. Dadisaa… I will always love you, my guardian angel. RIP💔.”  A post shared by Avika Gor (@avikagor) For actor Annup Sonii, working with Surekha Sikri was special, given they both came from the National School of Drama. While she passed long before he went to the college, Annup said that she was quite popular at NSD, and continues to be. “I would keep hearing about how amazing an actor she was, and it piqued my interest. I had even seen her pictures in the campus and people would always talk highly of her. After I passed out, I remember watching her in Banegi Apni Baat and even Mammo, and got to witness her prowess. And then of course, we got a chance to work together in Balika Vadhu,” he mentioned.In the show, the actor played Surekha Sikri’s son Bhairon Singh and the actor shared that their on-screen relationship seemed very real to viewers. “I remember, even when I would be with friends, having a drink, they would pull my leg, saying Maa sa will scold you,” the actor said with a laugh.Sonii further shared that the entire team had been in touch with her and was even calling each other since the news of her demise came in. Talking about his time spent on the set, the actor said that apart from a good script, having Surekha Sikri around helped the entire cast to give their best. “I think the quality of the show and performance of every actor was an effect of a good working environment. We had this senior actor, who never took her work casually, even on a daily show, and that kept the passion alive in others too. I remember, Surekha ji, me and Satyajeet Sharma, who was also an NSD pass-out, would spend hours talking about the institution and we would keep asking her about her time on the campus. It was such a wonderful time, and I believe it was an honour to have worked with her for six years.”Post the leap, Shashank Vyas took charge as the grown-up Jagdish aka Jagya. Having worked more than five years with Surekha Sikri, Vyas cannot thank his stars to have shared the screen with the thespian. Stating that he feels she must have done something good in life, he said, “Getting a chance to work with her and learn so much in five years seems like a reward for my past good deeds. She was an institution in herself and a legendary natural actor. Surekha ji was so full of life and positivity. She lived life on her own terms and had an amazing sense of humour. We both shared a very close bond, and I will keep that close to my heart forever.”Three-times national award winner Surekha Sikri, 75, was ailing for a long time and had suffered two brain strokes in 2020 and 2018. She was last seen in Netflix anthology Ghost Stories in the section helmed by Zoya Akhtar."
1,"Kareena Kapoor reveals mother-in-law Sharmila Tagore’s advice after son’s birth: ‘She said I had to keep working’July 16, 2021 12:56:04 pmKareena Kapoor has spoken about the role her mother-in-law Sharmila Tagore and mother Babita played as she welcomed sons Taimur and Jeh.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/bollywood/kareena-kapoor-reveals-mother-in-law-sharmila-tagores-advice-after-sons-birth-she-said-i-had-to-keep-working-7407416/,"Actor Kareena Kapoor has shared her pregnancy journey after the birth of sons Taimur and Jeh Ali Khan in her new book, Kareena Kapoor’s Pregnancy Bible. The book comes with anecdotes, advice and how her family and friends were her allies as she brought her sons to the world.The introduction of the book, written by Kareena, has been released and it talks about the actor trying to balance it all – her work commitments, motherhood and thanking all the help she gets from her own mother, Babita, and her domestic staff.Kareena has also spoken about the role of her mother-in-law, Sharmila Tagore, who pushed her to get back to work as soon as she can, and how husband Saif Ali Khan was a big support to her.  A post shared by Kareena Kapoor Khan (@kareenakapoorkhan)In the excerpt, Kareena has written, “My mother-in-law was also among the first to tell me that I had to keep working. Her advice was to do whatever I wanted but with confidence. She did some great work in the movies after her marriage and kids and was a real inspiration. My mother is also a strong role model for me, and she and my father both told me I must keep at it. So I thought what the heck! I plunged headlong into not one but two pregnancies and I now have these two tots in my life who make every day feel a little crazy, a little special, a little exhausting, and a little rewarding.”  A post shared by Kareena Kapoor Khan (@kareenakapoorkhan)Kareena also wrote about how she has been acing her work-life balance. She wrote, “And so here I am – writing these words, working, being a mommy, being active, being real. You know, my life often feels like the tree pose – where you’re balancing on one leg. I think women do that beautifully.”Kareena also credited Saif Ali Khan for being a strong support in her life. She shares, “But Saif told me I could do it all. He and I have worked hard to build a strong foundation for our relationship, and I truly believe my kids will always have that to stand on. And, hopefully, Jeh will be as confident as Taimur, because of his parents.”Saif Ali Khan has written the afterword of the book.Kareena had earlier posted about her book on Instagram where she wrote, “This has been quite the journey… both my pregnancies and writing my Pregnancy Bible. There were good days and bad days; some days I was raring to go to work and others where I struggled to get out of bed. This book is a very personal account of what I experienced both physically and emotionally through both my pregnancies.”On the work front, Kareena was last seen in Good Newzzz (2019) with Akshay Kumar, Diljit Dosanjh and Kiara Advani. She will soon be seen in Laal Singh Chaddha alongside Aamir Khan."
2,"SS Rajamouli responds to Roar of RRR’s success: ‘As if we released the trailer itself’ July 16, 2021  12:42:25 pmRRR stars Jr NTR, Ram Charan, Ajay Devgn, Alia Bhatt, and Olivia Morris. The film will release on October 13.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/telugu/ss-rajamouli-responds-to-roar-of-rrrs-success-as-if-we-released-the-trailer-itself-7407318/,"Roar of RRR, the making video of SS Rajamouli’s magnum-opus Rise Roar Revolt, has received a thunderous response after it came out on Thursday. Film enthusiasts and fans have been complimenting the filmmakers and actors for the impression the clip has left.The Baahubali director on Friday thanked people for making the first look at RRR a success. He wrote, “Thank you all for the wonderful reception for the Making Video of #RRRMovie.. It is almost like as if we released the trailer itself…”Thank you all for the wonderful reception for the Making Video of #RRRMovie.. It is almost like as if we released the trailer itself..🙂— rajamouli ss (@ssrajamouli) July 16, 2021“Lot of appreciation for me but actually I was occupied with shooting and post production. 2 months of hard work was put in by @ssk1122 and @vamsi2087 @trulypradeep of @WallsAndTrends. The accolades belong to them,” he added.Besides the captivating and grand visuals, one of the major highlights of Roar of RRR was its rap music. While Achu Rajamani composed the tune, rapper BlaaZe lent his vocals to the song. The lyrics were by Aditya Iyengar. Thanking them, the director wrote, “Thank you @achurajamani, @rblaaze, @rockstaradityaz for the captivating music, rap and lines respectively.. @SrinivasGMovie for all the innovative angles to capture the making footage.”Thank you @achurajamani, @rblaaze, @rockstaradityaz for the captivating music, rap and lines respectively..@SrinivasGMovie for all the innovative angles to capture the making footage.— rajamouli ss (@ssrajamouli) July 16, 2021Produced by DVV Danayya of DVV Entertainments, RRR stars Jr NTR, Ram Charan, Ajay Devgn, Alia Bhatt, Olivia Morris, Shriya Saran, Samuthirakani, Ray Stevenson, and Alison Doody in the lead characters.The movie is scheduled to be released on October 13."
3,"Sanjana Sanghi’s Humans of Bombay post deleted after backlash July 16, 2021  1:00:28 pmActor Sanjana Sanghi in her Humans of Bombay story called her staff ""help"" and spoke about how she has been helping them through the Covid-19 pandemic.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/bollywood/sanjana-sanghi-human-of-bombay-post-deleted-after-backlash-7407195/,"Humans of Bombay, a social media handle that documents different individuals’ stories of struggle and triumphs, has deleted a post featuring actor Sanjana Sanghi and her domestic workers. The page faced a severe backlash for Sanjana‘s post where she spoke about how she has been helping her domestic staff during the pandemic and also got them vaccinated. She also spoke about how her staff was very helpful to her during the pandemic, and now she is returning the favour. This piece with Sanjana was reportedly a promoted collaboration with a beer brand.Just hours after the HOB post went live on their social media platforms, Diet Sabya called out the post, highlighting how HOB and Sanjana have ended up using her three domestic workers as props to improve her own image. Diet Sabya is a sharp-tongued anonymous Instagram account dedicated to exposing imitations or appropriations, even blatant copies, in fashion.As Diet Sabya put out the story about Sanjana’s post, many Instagram users started reacting and demanded that the HOB post should be taken down as it appeared to use Sanjana’s domestic staff to earn praise for her.Diet Sabya, while calling out the actor on their Instagram stories, wrote, “’Help’ suggests that they are doing charity/pro-bono work out of the kindness of their heart.’Workers’ suggests that they are getting paid for their service. They deserve all rights that any employee would get.”Here’s how netizens reacted to Diet Sabya’s post:Many also reacted by saying, “This post reeked of privilege and self importance through and through.” Some also felt that Sanjana’s domestic workers didn’t get anything out of their faces being shown all over the internet, whereas Sanjana got more praise and apparently got paid for telling the story too.”After the backlash that the Humans of Bombay received on featuring Sanjana Sanghi’s story, the platform has now taken down the story. An official statement from the actor is awaited.On the work front, Sanjana was last seen sharing screen space with late actor Sushant Singh Rajput in Mukesh Chhabra’s 2020 film, Dil Bechara. Her next film is Kapil Verma’s Om: The Battle Within, also starring Aditya Roy Kapur."
4,"Loki new video: How Tom Hiddleston’s show has changed MCU foreverJuly 16, 2021 10:58:23 amLoki was captured by the Time Variance Authority or the TVA for the very crime of being a variant -- a being who did something that was not supposed to happen. This is the first solid proof that multiverse is a reality in MCU.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/web-series/loki-new-video-how-tom-hiddleston-show-has-changed-mcu-forever-7407246/,"A featurette from Loki titled ‘Future’ has teased that the show has changed MCU forever. The sixth episode of the show, or rather its first season, became available to watch on Wednesday. It ended the season on a cliffhanger.The show can be credited for introducing the multiverse to MCU. It actually made up the crux of the show’s story and drove the central conflict. The show has also confirmed that it would return for a second season, which is likely to happen at the end of next year.Loki was captured by the Time Variance Authority or the TVA for the very crime of being a variant — a being who did something that was not supposed to happen. While the Loki we knew in MCU is dead after being strangled by Thanos, the one that headlined the show is the Loki who escaped with the Tesseract or Space Stone after the Battle of New York.After being arrested by the TVA, he learns that the organisation is hunting for a variant of his — or his version from another universe. It turns out to be a female Loki who calls herself Sylvie.Loki teamed up with Sylvie and the two eventually found themselves in the Void, a place at the end of time. There, they discovered more Loki variants, which as, um, as varied, as a kid and an alligator.Loki is the first solid proof that multiverse is a reality in MCU. That, and the presence of Jonathan Majors’ He Who Remains or Kang the Conqueror in the Citadel at the End of Time and interesting ramifications for MCU’s future.First, with the multiverse, Marvel Studios can explain the arrival of X-Men (including Ryan Reynolds’ Deadpool) and Fantastic Four in the MCU. It would be an easy avenue for the Marvel properties that Disney acquired when it bought Fox to introduce to MCU. At any rate, it would be simpler to do than saying they existed in MCU all along and we just never saw them.Second, Kang the Conqueror possesses temporal domains and this will play into the story of Ant-Man and the Wasp: Quantumania, where we will see a more evil variant of He Who Remains.Thirdly, the stage is set for the multiverse madness that the third Doctor Strange has promised us.Whatever happens, things are going to be infinitely more exciting in the Marvel Cinematic Universe than they have ever been."
5,"Surekha Sikri passes away at 75: Karisma Kapoor remembers Zubiedaa costar, recalls their ‘wonderful journey’ July 16, 2021  1:23:30 pmSurekha Sikri passed away at the age of 75 due to a cardiac arrest on Friday. Bollywood celebs have paid tributes to the three-time National Award winner.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/bollywood/surekha-sikri-passes-away-celebs-mourn-loss-live-updates-7407215/,"Veteran actor Surekha Sikri passed away at the age of 75 in Mumbai on Friday due to a cardiac arrest. Bollywood celebs paid tributes to the late actor, as they remembered her power-packed performances. Manoj Bajpayee, Sidharth Shukla, Anubhav Sinha and Sushant Singh were among those who remembered Surekha on social media.Her manager shared with indianexpress.com, “Three-time national award winning actress, Surekha Sikri has passed away following a cardiac arrest earlier this morning at the age of 75. She had been suffering from complications arising from a second brain stroke. She was surrounded by family and her caregivers. The family asks for privacy at this time. Om Sai Ram.”Surekha first appeared on the silver screen in the 1978 film Kissa Kursi Ka. From there on, she went on to gain acclaim for her roles in films like Govind Nihalani’s Tamas, Shyam Benegal’s Mammo and Sardari Begum. In the 90s, she prominently featured in television shows like Banegi Apni Baat and Just Mohabbat.It was her time at TV show Balika Vadhu that made her a household name amongst the masses. She played the matriarch named Kalyani Devi who rules with an iron fist but gradually softens up towards the protagonist Anandi.The 2018 film Badhaai Ho, for which she also won a National Award, had fans applauding her time on the screen. The Amit Sharma film had her playing the role of a woman who comes from an orthodox background but is ready to embrace the new world.She was last seen in the Netflix anthology Ghost Stories where she starred alongside Janhvi Kapoor in the Zoya Akhtar directorial. Sikri played a bed-ridden patient who is lost in her world."
6,"Malik: A Nayakan-like story narrated in the Citizen Kane mould July 16, 2021  10:24:07 amThe premise of Malik is very close to Mani Ratnam's classic Nayakan -- an existentialist hero who goes back and forth between his identity as a hero and a villain.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/opinion-entertainment/malik-a-nayakan-like-story-narrated-in-the-citizen-kane-mold-7405837/,"Sulaiman Ali Ahammad is no ordinary criminal. He is a man of principle who, even when he steps on the wrong side of law, will always hold his moral code close. He takes on corruption without worrying about the price he may have to pay or the friends he may lose. But when doling out justice, he is as dispassionate and hard as those he is up against.Malayalam hit Malik sets up Fahadh Faasil’s Sulaiman as a Godfather-like figure, who delivers his own version of justice on his native Ramadappally. The film is the third collaboration between Fahadh and Mahesh Narayanan after Take Off and C U soon. And by default, the expectations from this film were obviously high, given the last two films of the actor-director duo were such a hit. And Malik lives up to the expectations.The film zeroes in on the hero who takes to crime for the collective good of the people of his coastal village. While he is celebrated as a hero in Ramadappally, the people in power see him as nuisance who needs to be taken out of play. Sulaiman stands in the way of greedy politicians taking over control of a coveted land near the coast. The politicians enlist the service of cops to take him out of the equation by bringing a 20-year-old case back to life. He is arrested under TADA act, and thus begins a race against time. While Sulaiman’s friends work around the clock to keep him alive in jail, cops and politicians bend over backwards to have him killed before his remand period is over. Will Sulaiman survive the prison? Will Sulaiman’s good deeds protect him from his enemies? And the age-old question: does the end justify the means? But, perhaps the most important one, who’s Sulaiman?Each frame is packed with a lot of information, activities and clues that contribute to the audience’s understanding of Sulaiman’s legend. Mahesh even gives a mythological edge to Sulaiman as his mother recalls the story of how he defeated death when he was just a child.Malik is technically very sound. Mahesh and his cinematographer Sanu Varghese have composed elaborate shots, which play like a relay race. So is the editing, which is also done by Mahesh as the narration seamlessly jumps back and forth in time. Malik is so dense with various storytelling techniques that one may have to watch it at least twice before one can grasp all of its layers.The premise of Malik is very close to Mani Ratnam’s classic Nayakan — an existentialist hero, who goes back and forth between his identity as a hero and a villain. While Kamal Haasan’s Velu is tormented by this question, Sulaiman is unburdened by his sense of responsibility. In a way, he has no regrets about his actions. He leaves that decision for the almighty to make. The question that keeps him up at night is whether he should continue as a mob boss or give up his life of crime and follow the path of religion.Nayakan takes a linear approach and we see the protagonist’s life as it happens. Malik, however, reveals Sulaiman’s life through the memories of the character who knows him. Mahesh uses a narrative style similar to that of Citizen Kane. Like the iconic film’s writer, Herman J. Mankiewicz famously said, “You cannot capture a man’s entire life in two hours. All you can hope is to leave the impression of one.” And in that respect, Mahesh does leave a solid impression of a man, whose personality is forged in an extremely bigoted, ungrateful and cruel environment.Malik is not simply a story about a good-hearted mob boss. The film has many layers. The film follows Sulaiman’s philosophical quest, his political views and how he sees all symbols of authority as an expression of oppression. He is ready to make personal sacrifices for the greater good. And, on the other hand, the well entrenched religious division that are used by the powerful to manipulate people’s will to their advantage.Mahesh’s brilliance also lies in the way he has structured the film. As a popular saying by filmmaker Jean-Luc Godard goes, “A story should have a beginning, a middle and an end, but not necessarily in that order.” The ending of Malik could be constructed as the beginning of a new chapter in a seemingly never-ending fight against oppression and the beginning of the film could be considered as an end of an old chapter. The beauty of Mahesh’s editing is this film would still be meaningful even if it is narrated backwards."
7,"Actor Surekha Sikri dies of cardiac arrest July 16, 2021  11:41:23 amVeteran actor Surekha Sikri has passed away at the age of 75 of a cardiac arrest. The actor was known for films such as Badhaai Ho and TV shows like Balika Vadhu. Bollywood celebs have mourned the loss.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/bollywood/surekha-sikri-dead-7407145/,"National Award-winning actor Surekha Sikri has died in Mumbai of a cardiac arrest at the age of 75. The actor was ailing for a long time and had suffered two brain strokes in 2020 and 2018. Actor’s manager confirmed the news to indianexpress.com, “Three-time national award winning actress, Surekha Sikri has passed away following a cardiac arrest earlier this morning at the age of 75. She had been suffering from complications arising from a second brain stroke. She was surrounded by family and her caregivers. The family asks for privacy at this time. Om Sai Ram.”Among those who mourned the loss were actors Manoj Bajpayee, Pooja Bhatt, Divyenndu and Divya Dutta. Delhi chief minister Arvind Kejriwal also paid a tribute to her. “Heartfelt condolences on the demise of veteran actress Surekha Sikri ji. May God bless her soul,” he wrote on Twitter.The veteran actor’s career spanned theatre, films and television. Surekha Sikri made her debut with 1978 political drama film Kissa Kursi Ka and played author-backed roles across films in various industries. She received the National Film Award for Best Supporting Actress thrice, including Tamas (1988), Mammo (1995) and Badhaai Ho (2018).Born in Uttar Pradesh, she graduated from National School of Drama (NSD) in 1971. She also won the Sangeet Natak Akademi Award in 1989. The actor’s father was in the Air Force and her mother was a teacher. She married Hemant Rege and they have a son together, Rahul Sikri.The actor found a lot of popularity with her role of a stern matriarch Kalyani Devi in TV soap Balika Vadhu. She was part of the show from its inception 2008 till its end in 2016. Her act as a matriarch in 2018’s Badhaai Ho was also much appreciated, for which she also received the Best Supporting Actress National Award. She was last seen in Netflix anthology Ghost Stories in the section helmed by Zoya Akhtar.The actor had suffered two strokes and was ailing for many months. “I had a brain stroke ten months ago and I have been recovering since then. I fell down and hit my head in the bathroom while shooting in Mahabaleshwar. I have not been able to work due to my illness. The doctors say that I will be alright soon,” Surekha had said after her stroke in 2018.  "
8,"Iron Man Robert Downey Jr lands first acting role after exiting MCU, to star in HBO’s adaptation of The SympathizerJuly 16, 2021 9:12:43 amAfter Robert Downey Jr's exit from MCU where he played Iron Man for over a decade, his first acting role has been announced. He will star in a TV adaptation of The Sympathizer for HBO and A24.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/television/iron-man-robert-downey-jr-lands-first-acting-role-after-exiting-mcu-to-star-in-hbo-adaptation-of-the-sympathizer-7407105/,"After playing Tony Stark or Iron Man for more than a decade, Robert Downey Jr has finally landed his next starring role. It’s a TV adaptation of Vietnamese-American author Viet Thanh Nguyen’s Pulitzer-winning debut novel The Sympathizer for HBO and A24, Deadline reported. His last release, Dolittle, began production before Avengers: Endgame finished.The show will be the first time Downey Jr will be seen in an acting role after 2019’s Avenger: Endgame. As per Deadline’s sources, the actor will portray multiple antagonistic roles that include “Orange County congressman, a CIA agent and a Hollywood film director.”South Korean filmmaker Park Chan-wook, best known for The Handmaiden and Oldboy, has signed on as the director.Downey Jr said in a statement quoted in the Deadline report, “Adapting Mr. Nguyen’s important and masterful work requires a visionary team. With director Park at the helm, I expect this to be a creative producing adventure for Susan, me and Team Downey and a stimulating process for myself in playing these complex supporting roles. A24 and HBO are the perfect combination of partners and co-parents. … It’s exactly the type of challenge I’ve been craving, and I believe we will deliver an exceptional viewing experience to our audience.”The Sympathizer is an espionage thriller about a half-French, half-Vietnamese communist spy who is active in the final days of the Vietnam War who is later exiled in the United States. The novel is described as a “blistering exploration of identity and America, a gripping spy novel and a powerful story of love and friendship”.He earlier collaborated with HBO’s miniseries reboot of Perry Mason, starring Matthew Rhys in the titular role, in 2020. A24 is a well-known indie studio, known for its low-budget, acclaimed and award-winning films like Hereditary, Uncut Gems, and Midsommar. Its previous collaborations with HBO include Zendaya-led Euphoria."
9,"Suniel Shetty on daughter Athiya’s rumoured relationship with KL Rahul: ‘They look brilliant together’ July 16, 2021  8:58:45 amActor Suniel Shetty has opened up on daughter Athiya Shetty and cricketer KL Rahul’s rumoured relationship and an ad they have done together.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/entertainment/bollywood/suniel-shetty-on-daughter-athiya-rumoured-relationship-with-kl-rahul-they-look-brilliant-together-7407096/,"Actor Athiya Shetty and cricketer KL Rahul often drop photos and messages on Instagram about each other but have been shy of accepting their relationship. Athiya’s father, actor Suniel Shetty, however, has been more forthcoming.Athiya and Rahul are currently in London and while they have refrained from sharing a photo of them together, eagle-eyed fans have noticed that they are together. In fact, reports pointed out that Rahul had listed Athiya as his partner when the Indian cricket team left for World Test Championship Final in England last month.Now, in a chat with Bombay Times, Suniel accepted that Athiya is indeed in London, but she is there with her brother Ahan Shetty. “Yes, she is in England, but she is with Ahan. The brother-sister duo has gone there for a holiday. Rest you may check with them,” Suniel said.Here are some photos of rumoured couple Athiya Shetty and cricketer KL Rahul:  A post shared by KL Rahul👑 (@rahulkl)  A post shared by Athiya Shetty (@athiyashetty)  A post shared by Athiya Shetty (@athiyashetty)Talking about Rahul and Athiya, who also appear in promotions of an eyewear brand together, he added, “I think it is best you speak to them. As far as the ad goes… I mean it is an international brand and they chose to take the two of them as the ambassadors. I think they look brilliant together. They are a good-looking couple, na? So, it totally works from a brand perspective. And I must say, they look good together, well, in the ad.”"
