,HEADLINE,IMAGE_LINK,LINK,NEWS
0,"Pakistan made a mistake by removing Sarfaraz, Arthur in 2019: Rashid Latif
July 16, 2021 1:18:27 pmSarfaraz Ahmed and former head coach Mickey Arthur had combined well to take Pakistan to the ICC Champions Trophy title in 2017.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/cricket/pakistan-mistake-sarfaraz-arthur-removal-in-2019-rashid-latif-7407515/,"Former Test captain and wicketkeeper Rashid Latif believes Pakistan Cricket Board (PCB) has made a big mistake by removing Sarfaraz Ahmed and Mickey Arthur as skipper and coach of the national team after the 2019 World Cup.“Why was Mickey Arthur removed…what was the reason for his sacking? The team had done well under him and it was progressing well. Check the records and you can see but he was removed because of politics,” Latif said on the YouTube Cricket Baaz channel.He said Sarfaraz also didn’t deserve to be booted out.PCB had sacked Arthur one month after Pakistan failed to reach the semi-finals of the World Cup because of their net run rate, while Sarfaraz was removed as captain of all three formats after the national team suffered a whitewash against a weak Sri Lankan side in a T20 series at home in October-November 2019.Sarfaraz and Arthur had combined well to take Pakistan to the Champions Trophy title in 2017.“I don’t blame Misbah-ul Haq, perhaps he didn’t want to be head coach. He was young and inexperienced as a coach so why appoint him? It is the PCB to be blamed for what has happened,” Latif said.He after Sarfaraz and Arthur’s removal, the team had undergone changes which had not worked well for Pakistan cricket.“Today we have lost to a second string England team badly in the One-Day series which means that our cricket is not good enough to even beat England’s bench strength.”Latif hoped Pakistan can bounce back in the T20 series against England, starting on Friday, after being whitewashed 0-3 by the hosts in the ODI rubber.“Let’s just hope they can bounce back because we can’t afford anymore setbacks.”"
1,"PCB requests New Zealand to play two additional T20Is during tour of Pakistan
July 16, 2021 1:03:44 pmNew Zealand are scheduled to play three ODIs and as many T20Is in September-October during their tour of Pakistan, which will be their first since 2002.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/cricket/pcb-pakistan-vs-new-zealand-two-additional-t20is-request-7407496/,"The Pakistan Cricket Board has requested New Zealand Cricket to play two additional T20I matches when its team tours the country later this year before the World T20 Cup in UAE.According to details, the New Zealand team is scheduled to play three One-Day Internationals and as many T20 matches in September-October during the tour, which will be its first to Pakistan since 2002.“Yes negotiations are being held with Cricket New Zealand to play two additional T20 matches because of the World T20 Cup but nothing is finalized as yet,” a source said.The PCB is gearing up to host a number of top teams in the 2021/22 season with New Zealand, England, West Indies and Australia lined up.West Indies are due tentatively in December and Australia in Feb/March 2022.The tours have also left the PCB in a position from where it might have to postpone the Pakistan Super League to April-May instead of its regular window of February 20 to March 23.England will also be touring Pakistan for the first time since 2005/06 for a short T20 series in October before the World Cup followed by West Indies and Australia.Australia, which will be sending a reconnaissance delegation to Pakistan in September to inspect arrangements for their tour, have also not played in Pakistan since 1998.Between 2010 and 2018, no top-ranked Test side visited Pakistan due to security concerns following the terrorist attack on the Sri Lankan team bus in Lahore in March, 2009."
2,"Kusal Perera out of entire India tour, Binura Fernando to miss ODI series
July 16, 2021 12:40:24 pmWhile batsman Kusal Perera is out with a right shoulder sprain, the Sri Lanka Cricket (SLC) said fast bowler Binura Fernando sprained his left ankle during training.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/cricket/kusal-perera-india-vs-sri-lanka-series-ruled-out-7407481/,"Former captain and wicketkeeper-batsman Kusal Perera has been ruled out of the entire limited overs series against India while fast bowler Binura Fernando will not be available for the ODIs against India due to injuries, Sri Lanka Cricket (SLC) said on Friday.While Perera is out with a right shoulder sprain, the SLC said Fernando sprained his left ankle during training.“Kusal Janith Perera will not be able to take part in the ODI and the T20I series against India owing to an injury. The wicket-Keeper batsman suffered a right shoulder sprain during training,” SLC said in a statement.“Fast Bowler Binura Fernando sprained his left ankle during a practice session held yesterday (15th July, 2021). It’s a lateral ligament sprain. Fernando will be unavailable for the ODI series of the India Tour of Sri Lanka,” it added.The six-match limited overs series starts with the first of three ODIs on July 18."
3,"Leicester City sign ex-Southampton defender Ryan Bertrand on free transfer
July 16, 2021 12:15:52 pmRyan Bertrand spent seven seasons with Southampton, making 240 appearances for the south-coast club. A UEFA Champions League winner with Chelsea, he also has 19 England caps.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/football/ryan-bertrand-leicester-city-free-transfer-7407439/,"Leicester City has signed Ryan Bertrand on a two-year deal after the left-back became a free agent following his release from Southampton, the Premier League club said on Thursday.Bertrand spent seven seasons with Saints, making 240 appearances for the south-coast club. The 31-year-old, a Champions League winner with Chelsea, also has 19 England caps but has not played for the Three Lions since 2017.Read up on Ryan! 📚#WelcomeRyan pic.twitter.com/25NnLD5hvp— Leicester City (@LCFC) July 15, 2021“Leicester have built something amazing over the years, especially since Brendan Rodgers has come in,” Bertrand said in a statement. “It’s fantastic to be a part of this fantastic club and I’m going to give my all to try and do the fans proud.”Leicester, which won the FA Cup last season, begins its campaign with a Community Shield match against league champion Manchester City on August 7 before hosting Wolverhampton Wanderers on the first day of the Premier League season a week later."
4,"Zimbabwe vs Bangladesh (ZIM v BAN 1st ODI) live streaming: When and where to watch match Live in India?
 July 16, 2021  12:00:38 pmBangladesh had a great start to their tour with a remarkable Test win. In the ICC Super league standings, they are currently at the second spot with 50 points.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/cricket/zimbabwe-vs-bangladesh-zimvban-1st-odi-live-streaming-when-and-where-to-watch-match-live-in-india-7407352/,"Hosts Zimbabwe will lock horns with visitors Bangladesh in first of the three-match ODI series at Harare Sports Club, Harare on Friday.The ODI series is a part of the ICC Super League and is a significant clash in terms of 2023 World Cup qualification. Bangladesh are confident of their win after beating Zimbabwe in a one-off Test by 220 runs.The live streaming details of BAN v ZIM 1st ODI:When and what time Bangladesh and Zimbabwe 1st ODI will begin?Bangladesh and Zimbabwe 1st ODI will begin at 13:00 PM IST on Friday (July 16) at Harare Sports Club, Harare. The toss will take place at 12:30 PM IST.Which channel will telecast Bangladesh and Zimbabwe 1st ODI in India?The Bangladesh and Zimbabwe 1st ODI will not have a live telecast in India.How to watch the live streaming of the Bangladesh and Zimbabwe 1st ODI?The Bangladesh and Zimbabwe 1st ODI can be streamed live on FanCode App.Probable Playing XIsBangladesh: Tamim Iqbal (c), Mohammad Naim, Shakib Al Hasan, Liton Das (wk), Mahmudullah, Mossadek Hossain, Afif Hossain, Mehidy Hasan, Mohammad Saifuddin, Taskin Ahmed, Shoriful IslamZimbabwe: Tinashe Kamunhukamwe, Marumani Tadiwanashe, Wesley Madhevere, Brendan Taylor (c), Sikandar Raza, Ryan Burl, Regis Chakabva (wk), Donald Tiripano, Wellington Masakadza, Tendai Chatara, Blessing Muzarabani"
5,"‘Naomi Osaka’ docuseries takes intimate look at tennis star
 July 16, 2021  10:04:09 amThe three-part series debuting Friday is a contemplative, intimate look at a young athlete finding her way.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/tennis/naomi-osaka-docuseries-takes-intimate-look-at-tennis-star-7407222/,"Those looking for definitive answers about Naomi Osaka and how she copes with the demands of her career and fame shouldn’t expect to find them in a new Netflix docuseries about the four-time Grand Slam champion.It’s the tennis star’s unresolved questions that are the heart of “Naomi Osaka,” director-producer Garrett Bradley said of the series that was taped over a two-year period starting with the 2019 U.S. Open. Production concluded in early 2021 before Osaka’s withdrawal from the French Open.The three-part series debuting Friday is a contemplative, intimate look at a young athlete finding her way.Film of major tournaments, wins and losses, is interwoven with scenes of Osaka’s time with family and her boyfriend, the rapper Cordae; her training and business demands; Osaka’s reflections on her career, multiracial identity and the death of mentor Kobe Bryant, and her decision to protest police killings of Black men and women.“It was really important for me to not go into the project with an agenda or really even with an opinion,” Bradley, a 2021 Oscar nominee for the documentary “Time,” said.“I really tried to open myself up to her world and where she was at, and tried to understand the sort of essence of who she was.”As filming progressed, she said, it became clear that the series’ foundation would be the conundrums faced not only by Osaka but society at large.Those inquiries are “connected to value systems and self-definition, and how one can create a more holistic understanding of themselves in any given environment that they find themselves in,” said Bradley, whose fellow producers include LeBron James, under the umbrella of his SpringHill production company.Osaka, 23, who was not made available for an interview, withdrew from the French Open last May, citing “huge waves of anxiety” before speaking to the media and revealing that she has suffered long bouts of depression.She also skipped the just-ended Wimbledon, with her agent saying she wanted personal time, but is expected to compete in the upcoming Tokyo Olympics for her native Japan. Osaka was just a few years old when she, her sister and their Japanese mother and Haitian father moved to the United States.In a Time magazine essay published July 8, Osaka wrote that, “Believe it or not, I am naturally introverted and do not court the spotlight. I always try to push myself to speak up for what I believe to be right, but that often comes at a cost of great anxiety.”“I do hope that people can relate and understand it’s O.K. to not be O.K., and it’s O.K. to talk about it. There are people who can help, and there is usually light at the end of any tunnel,” she said, thanking Michelle Obama, Michael Phelps and other public figures for offering support.The Netflix docuseries includes footage of Osaka and her sister, Mari, on the court as youngsters, with the tennis star recalling spending at least eight hours a day at practice, adding, “I was just tired.”Mari Osaka, 25, also played professional tennis but said in a social media post in March that she was retiring from the sport because it was “a journey which I didn’t enjoy ultimately.” The docuseries sketches a portrait of Naomi Osaka as thoughtful and driven to succeed but struggling to cope with her sport’s demands and her future.At one moment of self-reflection she says, “So what am I, if not a good tennis player?”Filmmaker Bradley cautions that the series should not be seen as definitive, but rather a snapshot of a brief period in a life that continues to “evolve and grow.”“This moment that we captured was her in the process of a learning curve, which I think she directly articulates really beautifully, (that) there are elements of fame that are hard to be prepared for,” Bradley said.I first teamed up with @Barbie in 2019 and today we’re introducing the Barbie Role Model Naomi Osaka doll. I hope every child is reminded that they can be and do anything: https://t.co/GrPuW1WkMnFun fact : (the doll is wearing my outfit from the 2020 Australian Open lol) pic.twitter.com/DlL98lNfQj— NaomiOsaka大坂なおみ (@naomiosaka) July 12, 2021“The sustenance that she finds is in accepting where she is currently in this moment, and certainly in her family and in her loved ones, but also is in finding her own voice. And that includes choosing when to use it and when not to.”Asked how she perceived Osaka’s emotional well-being, Bradley said she considers her “an incredibly strong and really brilliant person.”“She’s in control of her own narrative, and I think that’s a beautiful thing,” she said."
6,"Why are there more successful older golfers today?
 July 16, 2021  9:02:19 amA decade ago, the idea of an older golfer contending in, let alone winning, a major championship was something few considered. That was still the time when most golfers petered out in their mid-40s and kicked around the golf world before having a brief resurgence on the Champions Tour when they turned 50.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/golf/why-are-there-more-successful-older-golfers-today-7407119/,"By Paul SullivanFrom the 18th fairway in the final group of the British Open in 2009, Tom Watson, the five-time Open champion, hit a shot that flew right at the pin. For a moment, it looked like Watson, then age 59, would win the tournament for a record sixth time and become the oldest player to win a major championship.A firm bounce sent the ball off the back of the green, and Watson needed three more shots to get the ball into the hole. That dropped him into a tie for first. In the four-hole playoff, he ran out of gas and lost by six shots.A decade ago, the idea of an older golfer contending in, let alone winning, a major championship was something few considered. That was still the time when most golfers petered out in their mid-40s and kicked around the golf world before having a brief resurgence on the Champions Tour when they turned 50.The man who beat Watson that day, Stewart Cink, is now part of a group of professional golfers defying age and expectation to contend and win tournaments and majors. Cink, 48, has won twice this season on the PGA Tour, his first wins since the 2009 Open.Leading these middle-age mavericks is Phil Mickelson, who, about to turn 51, won the PGA Championship in May. He beat Brooks Koepka, a four-time major winner, and Louis Oosthuizen, the 2010 British Open champion, who are both in their 30s.The group also includes Lee Westwood, 48, who won his third Race to Dubai in 2020. He then finished second to Bryson DeChambeau at the Arnold Palmer Invitational and runner-up the next week at the Players Championship to Justin Thomas.At last month’s U.S. Open, Richard Bland, 48, of England, became the oldest person to ever lead that tournament at the halfway mark. He had also been the oldest first-time winner on the European Tour, when he won the Betfred British Masters in May.“All these guys have taken a new approach,” said Dave Phillips, co-founder of the Titleist Performance Institute, which focuses on golf and fitness. “There’s a lot of money out there. They realize they can still compete with the younger guys, but they need to spend more time on their body and what they fuel their body with.”Phillips, who trains Jon Rahm, the 26-year-old winner of this year’s U.S. Open, has for years been part of Mickelson’s training team.Cink, who is in the field this week at Royal St. George’s, said his two wins this season could not be attributed to any one thing. “Being 47, 48, just doesn’t feel like I thought it might feel when I was 28,” he said. “My heart and mind make me feel like I’m 10, 15 years younger.”He credits club technology, but also the fitness regimen that players who came up with Tiger Woods embraced to compete against him.Westwood said he had always worked on being fit, and it has paid off. But he also knows his limits.“Everyone talks about how far Bryson hits it, and he hits it miles,” Westwood said. “If you’re younger you might try to keep up with him. At 47, 48, you’re wiser and more knowledgeable. I couldn’t keep up with him if I wanted to. But I can hit it first and closer to the pin and put a bit of pressure on him.”Mickelson has been very public about his training regimen, including how he hits “bombs” — his term for the very long drives he hits past younger players. But he is also making better decisions on the course, Phillips said, like his strategic play in winning the PGA Championship this year. (His caddie is his brother, Tim.)Phillips said what Mickelson and the others were doing provided lessons for older golfers. “It’s not strength, but the recovery and the downtime that matter,” he said. “It’s letting your body recover. Everyone wants to get fitter, stronger, faster. They’re upset when they don’t see the results. But what they’re doing is fatiguing to the body more so than a round of golf.”Crucial for older players? Maintain leg strength, Phillips said, and that means walk, don’t ride, when you play golf.“There’s no doubt when I came out on tour in 1996 generally you were thought to retire from professional golf in your mid-30s and take a club professional job,” said Padraig Harrington, 49, winner of three majors and the European captain for the Ryder Cup this year. “Then more money came into the game. And now there is no job that would pay you as well as being on tour.”Of course, earning money and winning are very different things, he said. When the players he competed with in their prime win today, he attributes it to their ability to focus on that moment.“One of the big things you see with Phil, myself, Lee Westwood is when we’re not in contention it’s tough,” he said. “When we do get into contention, we get back into it. We’re much better when we’re in contention than when we’re in that gray zone. Sunday when there’s a bit of energy, we get going.”"
7,"Watch: Lionel Messi surprises his 100-year-old superfan with video message
 July 16, 2021  8:23:21 amThe Spanish grandfather Hernan is a huge fan of Messi and has been following him from the very beginning of his career.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/football/watch-lionel-messi-surprises-his-100-year-old-superfan-with-video-message-7407079/,"Star footballer Lionel Messi, who recently took Argentina to Copa America victory against Brazil, shared his success with his 100-year-old superfan. The Argentine star made a video call to Don Hernan who has gained popularity on TikTok in recent weeks.The Spanish grandfather Hernan is a huge fan of Messi and has been following him from the very beginning of his career. Recording each and every single goal Messi has scored for club and country, all by hand with a pencil and paper. The superfan has filled up close to 730 notebooks covering Messi’s goalscoring efforts.“Hello Hernan. Your story reached me, Messi said in the video and expressed his gratitude. He also told the 100-year-old grandfather that his story has finally reached him and that he wanted to send him a big hug for what he has been doing.Hernan is 100 years old, and every time Messi scores a goal, he writes it down in his notebook.Messi found out about this, and after winning the Copa America, he sent Hernan a video greeting him. The family's reaction to the video 🥺 (via julian.mc98/IG) pic.twitter.com/9apydpyqEP— B/R Football (@brfootball) July 15, 2021“It seems crazy to me that you have been recording my goals and in that way, and that is why I wanted to send you a big hug and thank you for what you do, for all your follow-up work.,” he added.Argentina won its first major title since 1993 after a 1-0 win against Brazil on July 11. And Messi finally lifted his first major trophy for the national team, filling in one of the biggest gaps in his decorated career."
8,"‘The wait is finally over’: WWE ready to welcome back fans at SmackDown
 July 16, 2021  6:36:36 amHere are some of the best fan images from past WWE PPVs and events that truly show the euphoria and fandom that comes with standing in the live arena.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/wwe-wrestling/the-wait-is-finally-over-wwe-ready-to-welcome-fans-smackdown-7406763/,"After a fabulous weekend of sports comprising the Wimbledon, Copa, and the Euro finals, WWE is all set to welcome its fans this weekend.Fans will return for the very first time post the pandemic to the SmackDown on 16th July, Friday (17th in IST).Stephanie Mcmahon, chief brand officer of WWE, shared her excitement and said that fans bring undeniable energy and aura to the WWE arena that is irreplaceable.“For over a year and a half, WWE has been missing the lifeblood of our shows, our fans,” she said in a statement.“No matter how hard we tried, never going off the air and continuing to produce our live content; investing in new technologies and bringing nearly one million people around the world into our shows virtually, it just wasn’t the same.”“We were missing our soundtrack, missing the shared experience, missing the visceral and emotional reaction that makes every bump and bruise worth it,” said Stephanie McMahon in a statement released,” she added.For over a year and a half, we have waited. This weekend, we once again welcome the @WWE Universe back! #SmackDown #MITB #WWERaw pic.twitter.com/Q1GGhLhqRD— Vince McMahon (@VinceMcMahon) July 15, 2021But as always, a picture speaks a thousand words. Here are some of the best fan images from past WWE PPVs and events that truly show the euphoria and fandom that comes with standing in the live arena.RAW November 2016 – Charlotte Flair at Glasgow For a brief period, the crowd at the SSE Hydro in Glasgow, managed to take control of the show. This happened during a segment when all five members of the brand’s team in the women’s traditional tag-team match at the Survivor Series, came together in the same ring. Charlotte Flair engaged in a war of words with the audience as she was in the middle of her segment on RAW, when fans steered in another direction. Since Bayley was the overwhelming crowd favourite, the fans kept chanting her name, during the segment.An end to The Undertaker’s winning streak – In a surprising turn of events, legendary star The Undertaker, suffered a blowing end to his successful WrestleMania winning streak that rendered shock waves amid fans and startled them to a great extent as many had a perception that his triumphant victories would never be broken. Brock Lesnar brought an alarming end to the iconic winning streak at one of the largest PPV’s of the year – The Undertaker had won 21 matches in the past. Fans were in a state of despair and left shocked at his defeat.Post WrestleMania 29 | RAW – Sheamus Vs Randy Orton The Shield’s victory over fellow WWE Superstars Sheamus and Randy Orton was a surprise and created a long-lasting impact. Randy Orton and Sheamus went head-to-head post WrestleMania, and fans expressed their disdain as the feud continued. The reaction of the fans to the match incited anger and frustration as Orton’s temper flared up backstage. The reaction of the crowd after WrestleMania was discussed for days on end.The overwhelming defeat of Randy Orton at the hands of Jinder Mahal- The 2017 WWE Backlash saw the underdog Jinder Mahal clinch victory against Orton who repeatedly made reference to the titles he has won in the past. A fired-up Mahal engaged in a heated brawl with Orton as the match gained momentum. Mixed reactions were received by fans as they quickly took to twitter to express their shock, fury and praises at this instance. A stunning display of moves by the Maharaja to overthrow Orton certainly had the fans divided with their opinions.The Astonishing Return of Hall of Famer Edge at Royal Rumble 2020- Edge made a surprising return to the arena after 9 years as he graced the Royal Rumble with his powerful presence. Fans were hysterical and delighted to see the beloved star enter the ring and eliminate Randy Orton and AJ styles among a few competitors. His action – packed return had a major impact on fans as they turned to social media to express their shock upon seeing him."
9,"No reinforcements to be sent despite Covid cases: BCCI
 July 16, 2021  12:48:58 pmThe BCCI allowed the Indian squad members to leave the bubble after the World Test Championship final that ended on June 23. Now the Indian contingent is taking Lateral Flow Test “on a daily basis to mitigate any further risks”.",https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif,https://indianexpress.com/article/sports/cricket/no-additions-allowed-despite-covid-cases-says-bcci-7406812/,"The Covid scare notwithstanding, the BCCI is not sending any additional player to England, The Indian Express has learnt.The Indian squad is off to Durham after a three-week break and the assembled party doesn’t have a wicketkeeper, with Rishabh Pant quarantining after testing positive on July 8 and Wriddhiman Saha in self-isolation in London as training assistant Dayanand Garani’s close contact. The latter tested positive for Covid on Wednesday and has been isolating at the team hotel in London.The BCCI, however, believes that with Pant being asymptomatic and nearing the completion of his quarantine period, at least as of now there’s no need to add players to an already bloated squad. “No,” said a top BCCI official when asked if any additional player would be sent to England.The selection committee picked a 20-member squad for the five-Test series in England, with an eye to pandemic-induced restrictions. India is still on the United Kingdom’s red list due to the Covid-19 surge, meaning stricter travel restrictions and more elaborate virus safety protocols. Accordingly, a 20-member squad plus four standbys were picked to provide adequate backup for almost every position in case of injuries or any other emergency.In Australia also last winter, India had to dig deep into their resources following injuries to several first-choice cricketers and backup players like Shardul Thakur, Washington Sundar and T Natarajan were drafted into the squad, and they played a major part in a memorable Test series win.The UK has been facing the spread of the Delta variant of the virus and although the entire Indian contingent, along with the travelling family members, was administered the second jab of the Covid vaccine earlier this month in London, visiting crowded places during the three-week break ran a risk. Pant and Jasprit Bumrah were spotted at a heavily-crowded Wembley, watching Euro 2020 matches. Head coach Ravi Shastri dropped in at Wimbledon.“Pant, who had not stayed in the team hotel during the break period, tested positive on 8th July. He is asymptomatic and currently undergoing self-isolation at the place where he reported positive. He is being closely monitored by the BCCI Medical Team and is on his way to recovery. He will be able to join the squad in Durham after returning two negative RT-PCR tests,” said the BCCI press release.And apart from Saha, bowling coach Bharat Arun and standby opener Abhimanyu Easwaran, too, are self-isolating for 10 days in London for being throwdown specialist Garani’s close contacts. It needs to be seen if Easwaran is drafted into the main squad, for Shubman Gill is nursing a leg injury. The Punjab opener, though, hasn’t been ruled out of the series.Asked if Easwaran will get in, a BCCI official said: “This is a call to be taken by the selectors and the team management. The BCCI doesn’t interfere in selection matters.”The BCCI allowed the Indian squad members to leave the bubble after the World Test Championship final that ended on June 23. Now the Indian contingent is taking Lateral Flow Test “on a daily basis to mitigate any further risks”.The Indian team left for England on June 3 and this 104-day tour is the longest the current lot have ever been to. The first Test against England in Nottingham commences on August 4, while the fifth Test in Manchester finishes on September 14. Ahead of the series, India will play a three-day warm-up game from Tuesday against a County XI."
